artist,music_type
caterina barbieri,Type B
The Mekons,Type B
Three Dog Night,Type B
Вячеслав Бутусов,Type B
ZARD,Type B
Czerwone Gitary,Type B
Donovan,Type B
Skaldowie,Type B
Greg Joy,Type B
Patsy Gallant,Type B
Elza Soares,Type B
Lester Young,Type B
Husking Bee,Type B
The Primitives,Type B
Wes Montgomery,Type B
Dr. Feelgood,Type B
John Powell,Type B
Hooverphonic,Type B
Kasey Chambers,Type B
Albert Ayler,Type B
Joe Loss,Type B
Paper Lace,Type B
Puppypet,Type B
Yuzo Hayashi,Type B
Solomon Burke & De Dijk,Type B
Lead,Type B
에프엑스(f(x)),Type B
Xing,Type B
Annette Hanshaw,Type B
כוורת,Type B
Fun,Type B
Mi,Type B
Joe Jackson,Type B
Mostar Sevdah Reunion,Type B
Lionel Hampton,Type B
De Mens,Type B
Jim Reeves,Type B
Alberto Camerini,Type B
Rebecca,Type B
Gilbert & Sullivan,Type B
The Dartz,Type B
Stephen Kennedy,Type B
Вячеслав Бутусов и Deadушки,Type B
Los Lobos,Type B
サンボマスター,Type B
Laura Vanamo,Type B
Nickodemus,Type B
Denizen Kane,Type B
Yes,Type B
Happy Mondays,Type B
Наталья Могилевская,Type B
"Les Baxter, Billy May",Type B
The Human Beinz,Type B
King Jammy,Type B
Lovestoned,Type B
Janet Jackson,Type B
יוני בלוך,Type B
Yahir,Type B
Cabernet Deneuve,Type B
w-inds.,Type B
The Banana Splits,Type B
Duke Ellington,Type B
Soundtrack,Type B
Jimmie Noone,Type B
SCSI-9,Type B
Charles Aznavour,Type B
Lost Dogs,Type B
Pocky Girls,Type B
Ані Лорак,Type B
T'Pau,Type B
ステファニー,Type B
Deodato,Type B
Scientist,Type B
Серёга,Type B
yifei,Type B
Teriyaki Boyz,Type B
Kashif,Type B
Begin,Type B
Department of Eagles,Type B
The Smashing Pumpkins,Type B
David Arkenstone,Type B
The Velvet Underground,Type B
Blockhead,Type B
June Christy,Type B
East 17,Type B
Nargaroth,Type B
The Hives,Type B
Alvvays,Type B
Beach House,Type B
Stockard Channing,Type B
Eels,Type B
Kill Paradise,Type B
Jason Donovan,Type B
Menswear,Type B
Strangeheart,Type B
Beres Hammond,Type B
Sophie Ellis-Bextor,Type B
Beth Orton,Type B
Oh Mercy,Type B
Michael Nyman,Type B
The Field Mice,Type B
Girls in Hawaii,Type B
Sharks Keep Moving,Type B
Dusty Springfield,Type B
Corinne Bailey Rae,Type B
Michael Whalen,Type B
Hammock,Type B
Dear Reader,Type B
Gravenhurst,Type B
Guus Meeuwis,Type B
Andrea Bocelli,Type B
Devendra Banhart,Type B
Ane Brun,Type B
Jack Johnson,Type B
Prince Royce,Type B
Cat Power and Dirty Delta Blues,Type B
Jeremy Soule,Type B
Half Moon Run,Type B
Sun Airway,Type B
Nine Black Alps,Type B
Villagers,Type B
Animals as Leaders,Type B
Dirty Projectors + Björk,Type B
Angus,Type B
Bon Iver,Type B
Spiritualized,Type B
Earth,Type B
Jefferson Airplane,Type B
Graham Nash,Type B
The Byrds,Type B
Oneohtrix Point Never,Type B
The Moody Blues,Type B
Kings of Convenience,Type B
Six Organs of Admittance,Type B
The Magnetic Fields,Type B
Tom Zé,Type B
Kevin Kern,Type B
Get Well Soon,Type B
Hopesfall,Type B
Ludovico Einaudi,Type B
Tristeza,Type B
Vàli,Type B
Melt-Banana,Type B
Caveman,Type B
M83,Type B
The Mountain Goats,Type B
Collective Soul,Type B
The Microphones,Type B
The Durutti Column,Type B
Traditional,Type B
Caetano Veloso,Type B
Alaska In Winter,Type B
Badly Drawn Boy,Type B
Garry Schyman,Type B
Mum,Type B
大谷幸,Type B
The Sight Below,Type B
Voodoo Child,Type B
Vanessa-Mae,Type B
Tyrone Wells,Type B
Syd Matters,Type B
The Red Army Choir,Type B
"Crosby, Stills & Nash",Type B
Andy Hunter°,Type B
Loreena McKennitt,Type B
Tiamat,Type B
RIP SLYME,Type B
Sophie Zelmani,Type B
Arch Enemy,Type B
Joe Purdy,Type B
Beirut,Type B
Karl Jenkins,Type B
2002,Type B
Deana Carter,Type B
Adiemus,Type B
Foals,Type B
Christ.,Type B
Kazik,Type B
Movie Sounds Unlimited,Type B
Drowning Pool,Type B
Ah*Nee*Mah,Type B
Sun Kil Moon,Type B
Jonatha Brooke,Type B
Suzanne Vega,Type B
Ancient Future,Type B
Vive La Fête,Type B
Standstill,Type B
Afrocubism,Type B
Abadoss,Type B
Bonobo,Type B
Holopaw,Type B
Michele McLaughlin,Type B
Decoder Ring,Type B
